Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Flow_Bytes_per_s,Flow_Packets_per_s,FIN_Flag_Count,SYN_Flag_Count,ACK_Flag_Count,Label
54865,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
55054,109,1,1,6,6,110091.7431,18348.62385,0,0,1,BENIGN
55055,52,1,1,6,6,230769.2308,38461.53846,0,0,1,BENIGN
46236,34,1,1,6,6,352941.1765,58823.52941,0,0,1,BENIGN
54863,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
54871,1022,2,0,12,0,11741.68297,1956.947162,0,0,1,BENIGN
54925,4,2,0,12,0,3000000.0,500000.0,0,0,1,BENIGN
54925,42,1,1,6,6,285714.2857,47619.04762,0,0,1,BENIGN
9282,4,2,0,12,0,3000000.0,500000.0,0,0,1,BENIGN
55153,4,2,0,37,0,9250000.0,500000.0,0,1,1,BENIGN
55143,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
55144,1,2,0,37,0,37000000.0,2000000.0,0,1,1,BENIGN
55145,4,2,0,37,0,9250000.0,500000.0,0,1,1,BENIGN
55254,3,3,0,43,0,14300000.0,1000000.0,0,0,1,BENIGN
36206,54,1,1,0,0,0.0,37037.03704,0,0,1,BENIGN
53524,1,2,0,0,0,0.0,2000000.0,0,0,1,BENIGN
53524,154,1,1,0,0,0.0,12987.01299,0,0,1,BENIGN
53526,1,2,0,0,0,0.0,2000000.0,0,0,1,BENIGN
53526,118,1,1,0,0,0.0,16949.15254,0,0,1,BENIGN
53527,239,1,1,0,0,0.0,8368.200837,0,0,1,BENIGN
53528,1,3,0,0,0,0.0,3000000.0,0,0,1,BENIGN
53527,1,2,0,0,0,0.0,2000000.0,0,0,1,BENIGN
55035,4,2,0,248,0,62000000.0,500000.0,0,1,1,BENIGN
55275,5,3,0,254,0,50800000.0,600000.0,0,1,1,BENIGN
55277,4,2,0,12,0,3000000.0,500000.0,0,0,1,BENIGN
8850,4,3,0,43,0,10800000.0,750000.0,0,0,1,BENIGN
43248,54,1,1,0,0,0.0,37037.03704,0,0,1,BENIGN
8678,42,3,0,43,0,1023809.524,71428.57143,0,0,1,BENIGN
55063,4,2,0,37,0,9250000.0,500000.0,0,1,1,BENIGN
55203,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
55140,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
55180,737,2,1,37,6,58344.64043,4070.556309,0,1,1,BENIGN
55156,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
55096,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
55085,3,2,0,37,0,12300000.0,666666.6667,0,1,1,BENIGN
8689,276,3,0,43,0,155797.1014,10869.56522,0,0,1,BENIGN
8817,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
8816,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
8886,1,2,0,12,0,12000000.0,2000000.0,0,0,1,BENIGN
60350,105,1,1,6,6,114285.7143,19047.61905,0,0,1,BENIGN
60346,66,1,1,6,6,181818.1818,30303.0303,0,0,1,BENIGN
60352,68,1,1,6,6,176470.5882,29411.76471,0,0,1,BENIGN
8833,48,2,0,12,0,250000.0,41666.66667,0,0,1,BENIGN
9331,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
9175,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
8693,16,1,1,6,6,750000.0,125000.0,0,0,1,BENIGN
